"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1217529392915714048""",https://twitter.com/cnn/status/1217529392915714048,"2020-01-15 19:30:02","""The supermassive black hole at the center of our galaxy is behaving strangely and eating voraciously. And now, astronomers have spotted a weird new class of objects not far from the black hole, according to a study published in the journal Nature. https://t.co/3vxea6CRWJ""",Tweet,SocialFlow,202,503,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217526875712622592""",https://twitter.com/cnn/status/1217526875712622592,"2020-01-15 19:20:02","""Disney heir Abigail Disney testified Wednesday before the California State Senate in support of a bill that would raise the state's corporate income tax rates while incentivizing firms to curb CEO pay. https://t.co/M0dCfG8sbf""",Tweet,SocialFlow,119,685,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217524377211805698""",https://twitter.com/cnn/status/1217524377211805698,"2020-01-15 19:10:06","""Colgate is launching what it says is a vegan-certified toothpaste that comes in an ""industry-first"" recyclable tube. https://t.co/Oat1iABzQj""",Tweet,SocialFlow,159,653,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217523109957459968""",https://twitter.com/cnn/status/1217523109957459968,"2020-01-15 19:05:04","""One worker is trapped at a construction site in Durham, North Carolina, after a trench collapsed Wednesday morning, fire officials said. https://t.co/fOxCMMhiGU""",Tweet,SocialFlow,29,125,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217521430675542021""",https://twitter.com/cnn/status/1217521430675542021,"2020-01-15 18:58:24","""Here's a step-by-step guide to what happens when the House sends the impeachment articles to the Senate https://t.co/ouJ1Jewf03""",Tweet,SocialFlow,46,149,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217519557763588098""",https://twitter.com/cnn/status/1217519557763588098,"2020-01-15 18:50:57","""JUST IN: The House has voted to approve seven impeachment managers to prosecute the case against President Trump, a long-awaited move that sends the action to the Senate and sets up the next phase of the impeachment fight. https://t.co/nfW7tczgxv https://t.co/eadBX2RrZs""",Tweet,"Twitter Media Studio",125,546,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217519344990683136""",https://twitter.com/cnn/status/1217519344990683136,"2020-01-15 18:50:06","""A 104-year-old US Marine Corps veteran who served in World War II is asking people to send him cards for Valentine's Day https://t.co/0MMsQDA3eF https://t.co/Mk7EiXIi28""",Tweet,SocialFlow,124,464,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217516819252219904""",https://twitter.com/cnn/status/1217516819252219904,"2020-01-15 18:40:04","""Elizabeth Warren sought to ""raise a concern"" with Bernie Sanders during a tense onstage discussion immediately following Tuesday night's debate, according to Sanders campaign manager Faiz Shakir. https://t.co/smZacG6IOz""",Tweet,SocialFlow,29,115,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217514328720625665""",https://twitter.com/cnn/status/1217514328720625665,"2020-01-15 18:30:10","""This photographer has taken a picture of himself nearly every day for 20 years. He combined the images to make this incredible video. https://t.co/FgpsfXSZSy https://t.co/5H80ycB2DM""",Tweet,SocialFlow,107,515,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217511802436759555""",https://twitter.com/cnn/status/1217511802436759555,"2020-01-15 18:20:08","""President Trump signed an initial trade deal with China today that includes pledges from Beijing to more than double its purchases from American farmers in the first year. https://t.co/tfAdVD2FOw""",Tweet,SocialFlow,58,240,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217509300421251072""",https://twitter.com/cnn/status/1217509300421251072,"2020-01-15 18:10:12","""These self-healing robots can travel inside human bodies and survive for weeks without food https://t.co/2G9ATXyY8M https://t.co/54uDsez42Z""",Tweet,SocialFlow,100,286,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217506760162004992""",https://twitter.com/cnn/status/1217506760162004992,"2020-01-15 18:00:06","""By taking steps to tighten his grip on power, Putin is also sending a message to the wider world. | Analysis by @lukemcgee https://t.co/WIW9kt6xyf""",Tweet,SocialFlow,61,128,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217504250068193281""",https://twitter.com/cnn/status/1217504250068193281,"2020-01-15 17:50:08","""A homeless man is in a serious condition in a Dublin hospital after the tent he was sleeping in was picked up by an industrial litter-clearing vehicle. https://t.co/SREVwkcFNe""",Tweet,SocialFlow,60,182,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217501728695881728""",https://twitter.com/cnn/status/1217501728695881728,"2020-01-15 17:40:06","""Sen. Amy Klobuchar argues there's a ""double standard"" for women in politics, but says she expects to win the 2020 Democratic nomination because she's ""the best person for the job."" https://t.co/bsQFi2yTPx""",Tweet,SocialFlow,47,262,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217499220497829893""",https://twitter.com/cnn/status/1217499220497829893,"2020-01-15 17:30:08","""2019 was the second-hottest year on record, NASA and NOAA scientists announce, capping a decade they say was the warmest in recorded history. https://t.co/yXrDpVFByt""",Tweet,SocialFlow,74,172,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217496693949767680""",https://twitter.com/cnn/status/1217496693949767680,"2020-01-15 17:20:06","""Tennessee passed legislation this week aimed at protecting religious freedoms for private child-placing agencies, but critics fear it will allow discrimination against LGBTQ and religious minority families. https://t.co/EQ2D7tRXDZ""",Tweet,SocialFlow,48,115,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217494176201433090""",https://twitter.com/cnn/status/1217494176201433090,"2020-01-15 17:10:06","""The best country in the world to raise a child? It's not America, a survey finds. The US came in at number 18 for best country to raise a child, beaten by many countries in Europe, Canada and Australia. The top spots went to Denmark, Sweden and Norway. https://t.co/6OVEzTR86t""",Tweet,SocialFlow,207,745,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217492281533616128""",https://twitter.com/cnn/status/1217492281533616128,"2020-01-15 17:02:34","""China's new SARS-like virus has spread to Thailand, and we still know very little about it https://t.co/R4vOUzIvDj""",Tweet,SocialFlow,278,246,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
